index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,Zapolyarnyy,69.4154,30.8136,56.48,83.0,100.0,5.93,RU,1627842407.0
160,Airai,-8.9266,125.4092,55.8,83.0,81.0,2.42,TL,1627842384.0
536,Bubaque,11.2833,-15.8333,78.93,84.0,88.0,18.1,GW,1627842433.0
74,Barrow,71.2906,-156.7887,48.22,84.0,90.0,26.46,US,1627842372.0
406,Flinders,-34.5833,150.8552,47.21,84.0,18.0,4.32,AU,1627842416.0
548,Gamba,-2.65,10.0,74.17,84.0,100.0,6.96,GA,1627842434.0
394,Karatsu,33.4425,129.9697,81.9,84.0,96.0,4.25,JP,1627842415.0
353,Epe,6.5841,3.9834,77.05,84.0,91.0,6.08,NG,1627842410.0
431,Paamiut,61.994,-49.6678,48.87,84.0,100.0,5.79,GL,1627842419.0
293,Kirakira,-10.4544,161.9205,73.58,84.0,99.0,8.08,SB,1627842402.0
559,Verkh-Usugli,52.7,115.1667,49.17,84.0,100.0,2.3,RU,1627842436.0
375,Chabahar,25.2919,60.643,84.9,84.0,23.0,11.01,IR,1627842412.0
217,Larap,14.299,122.6504,79.38,84.0,100.0,6.89,PH,1627842392.0
495,Honāvar,14.2833,74.45,78.28,84.0,81.0,8.97,IN,1627842427.0
216,Kieta,-6.2167,155.6333,77.7,84.0,73.0,2.1,PG,1627842392.0
545,Balogo,10.8868,124.7105,80.94,84.0,87.0,5.01,PH,1627842434.0
360,Anyang,36.0994,114.3289,74.64,84.0,33.0,5.06,CN,1627842411.0
231,Mogadishu,2.0371,45.3438,76.05,85.0,83.0,20.56,SO,1627842342.0
579,Pagudpud,18.5616,120.7868,80.56,85.0,100.0,16.42,PH,1627842438.0
176,Sungai Raya,0.7,108.9,79.32,85.0,95.0,6.11,ID,1627842386.0
456,Kangaba,11.9333,-8.4167,77.02,85.0,98.0,4.74,ML,1627842422.0
117,Mayumba,-3.432,10.6554,73.72,86.0,98.0,8.14,GA,1627842378.0
496,Cabatuan,10.8794,122.486,77.63,86.0,100.0,7.43,PH,1627842427.0
322,Caxito,-8.5785,13.6643,73.0,86.0,2.0,7.7,AO,1627842406.0
422,Dingle,10.9995,122.6711,77.68,86.0,100.0,9.19,PH,1627842418.0
197,Kautokeino,69.0125,23.0412,42.82,86.0,100.0,11.74,NO,1627842230.0
324,Samagaltay,50.6022,95.0047,50.54,86.0,100.0,5.12,RU,1627842406.0
349,Somerset,40.5668,-74.5496,78.89,86.0,90.0,1.01,US,1627842409.0
174,Cherskiy,68.75,161.3,34.86,86.0,68.0,16.26,RU,1627842386.0
326,Clyde River,70.4692,-68.5914,43.03,87.0,75.0,16.11,CA,1627842406.0
471,Kupang,-10.1667,123.5833,75.07,87.0,39.0,8.57,ID,1627842424.0
316,Katangli,51.7102,143.2326,52.92,87.0,100.0,8.25,RU,1627842405.0
255,Atambua,-9.1061,124.8925,70.54,87.0,67.0,5.19,ID,1627842397.0
249,Katsuura,35.1333,140.3,80.71,87.0,23.0,7.0,JP,1627842396.0
595,Grindavik,63.8424,-22.4338,56.55,87.0,75.0,6.91,IS,1627842441.0
329,Provideniya,64.3833,-173.3,41.45,87.0,100.0,15.68,RU,1627842407.0
237,Chokurdakh,70.6333,147.9167,31.84,87.0,7.0,5.03,RU,1627842394.0
273,Honiara,-9.4333,159.95,75.96,87.0,89.0,3.91,SB,1627842400.0
24,Puerto Ayora,-0.7393,-90.3518,76.96,87.0,74.0,11.99,EC,1627842365.0
587,Broken Hill,-31.95,141.4333,46.11,87.0,0.0,10.36,AU,1627842440.0
115,Ranong,9.9658,98.6348,79.54,87.0,100.0,14.03,TH,1627842378.0
242,Pangnirtung,66.1451,-65.7125,48.2,87.0,90.0,6.91,CA,1627842395.0
407,Biak,-0.9131,122.8766,75.11,87.0,98.0,6.62,ID,1627842416.0
402,Auki,-8.7676,160.7034,75.13,87.0,100.0,8.61,SB,1627842369.0
65,Hobart,-42.8794,147.3294,38.05,87.0,8.0,1.01,AU,1627842371.0
259,Ahipara,-35.1667,173.1667,53.65,88.0,17.0,6.35,NZ,1627842398.0
31,Alofi,-19.0595,-169.9187,75.09,88.0,63.0,14.97,NU,1627842367.0
500,Port Keats,-14.25,129.55,74.62,88.0,92.0,1.83,AU,1627842428.0
307,East London,-33.0153,27.9116,56.34,88.0,0.0,4.61,ZA,1627842110.0
287,Panzhihua,26.5851,101.7128,69.89,88.0,0.0,1.25,CN,1627842401.0
372,Malinovskiy,61.1953,62.8397,58.48,88.0,28.0,6.33,RU,1627842412.0
571,Ponta Delgada,37.7333,-25.6667,74.12,88.0,40.0,16.11,PT,1627842382.0
303,Kununurra,-15.7667,128.7333,67.98,88.0,17.0,1.14,AU,1627842404.0
177,Mossamedes,-15.1961,12.1522,68.94,88.0,3.0,9.26,AO,1627842386.0
485,Lianzhou,24.7811,112.3825,79.02,88.0,99.0,1.88,CN,1627842426.0
149,Ketchikan,55.3422,-131.6461,61.27,88.0,90.0,8.05,US,1627842383.0
131,Kruisfontein,-34.0033,24.7314,56.88,88.0,35.0,19.8,ZA,1627842380.0
409,Amursk,50.2261,136.8994,54.46,88.0,75.0,9.95,RU,1627842416.0
385,Rabo de Peixe,37.8,-25.5833,72.91,88.0,40.0,16.11,PT,1627842414.0
230,Bagotville,-28.9833,153.4167,62.64,88.0,4.0,11.77,AU,1627842394.0
118,Hong Kong,22.2855,114.1577,85.32,89.0,100.0,1.01,HK,1627842331.0
2,Sibolga,1.7427,98.7792,74.79,89.0,98.0,3.33,ID,1627842362.0
393,Lavrentiya,65.5833,-171.0,40.28,89.0,100.0,10.8,RU,1627842414.0
581,Āstāneh-ye Ashrafīyeh,37.2596,49.9444,74.03,89.0,97.0,4.23,IR,1627842439.0
515,Nishihara,26.1842,127.7558,82.06,89.0,75.0,17.27,JP,1627842430.0
336,Tigil',57.8,158.6667,46.42,89.0,80.0,4.54,RU,1627842408.0
236,Luwuk,-0.9516,122.7875,75.99,89.0,99.0,5.12,ID,1627842394.0
424,Padang,-0.9492,100.3543,75.56,89.0,93.0,2.77,ID,1627842418.0
58,Shenjiamen,29.9576,122.298,79.63,90.0,100.0,5.01,CN,1627842370.0
319,Saldanha,-33.0117,17.9442,51.85,90.0,39.0,9.06,ZA,1627842405.0
189,Vrangel',42.7297,133.0839,71.33,90.0,66.0,17.0,RU,1627842388.0
341,Havøysund,70.9963,24.6622,45.48,90.0,100.0,14.05,NO,1627842408.0
187,Yeppoon,-23.1333,150.7333,55.18,90.0,5.0,5.35,AU,1627842388.0
275,Margate,51.3813,1.3862,64.69,90.0,65.0,1.99,GB,1627842400.0
434,Kelo,9.3086,15.8066,74.23,90.0,88.0,5.5,TD,1627842419.0
125,Antropovo,58.3988,43.0066,61.95,90.0,94.0,7.07,RU,1627842379.0
124,Williamsburg,37.2707,-76.7075,78.57,90.0,20.0,0.0,US,1627842379.0
344,Hasaki,35.7333,140.8333,77.29,90.0,1.0,7.29,JP,1627842408.0
51,Bengkulu,-3.8004,102.2655,75.07,90.0,90.0,5.1,ID,1627842369.0
354,Bakchar,57.0186,82.0711,53.28,91.0,48.0,3.69,RU,1627842410.0
441,Gari,59.4307,62.3497,58.77,91.0,14.0,6.89,RU,1627842420.0
10,Bluff,-46.6,168.3333,39.79,91.0,19.0,8.05,NZ,1627842364.0
561,Ust-Tsilma,65.441,52.1498,51.87,91.0,89.0,1.5,RU,1627842436.0
207,Shingū,33.7333,135.9833,78.91,91.0,83.0,3.09,JP,1627842390.0
522,Karatuzskoye,53.6072,92.8667,55.4,91.0,43.0,1.36,RU,1627842431.0
596,Inírida,3.8653,-67.9239,76.53,92.0,96.0,3.6,CO,1627842441.0
304,Codrington,-38.2667,141.9667,43.09,92.0,21.0,12.8,AU,1627842404.0
350,Talnakh,69.4865,88.3972,53.55,92.0,99.0,5.75,RU,1627842409.0
282,Sovetskaya Gavan',48.9723,140.2878,56.62,92.0,100.0,1.95,RU,1627842401.0
467,Chumphon,10.3333,98.8333,73.51,92.0,100.0,8.37,TH,1627842424.0
107,Allāpalli,19.4167,80.0667,76.66,92.0,95.0,3.83,IN,1627842377.0
206,Muros,42.7762,-9.0603,66.99,92.0,100.0,4.65,ES,1627842390.0
110,George Town,5.4112,100.3354,76.93,92.0,20.0,3.44,MY,1627842306.0
448,Chengde,40.9725,117.9361,66.13,92.0,58.0,4.65,CN,1627842421.0
429,Mizhou,35.9947,119.3975,71.73,92.0,0.0,2.71,CN,1627842419.0
524,Gaozhou,21.9392,110.8461,78.89,93.0,100.0,1.77,CN,1627842431.0
358,Carballo,43.213,-8.691,65.91,93.0,99.0,3.96,ES,1627842410.0
283,Tokur,53.1333,132.9,52.84,93.0,99.0,2.98,RU,1627842401.0
264,Pokhara,28.2333,83.9833,72.45,93.0,80.0,2.82,NP,1627842115.0
235,Nome,64.5011,-165.4064,49.15,93.0,90.0,9.22,US,1627842394.0
190,Te Anau,-45.4167,167.7167,41.63,93.0,65.0,1.99,NZ,1627842388.0
181,Geraldton,-28.7667,114.6,45.01,93.0,40.0,8.05,AU,1627842387.0
520,Sémbé,1.6481,14.5806,72.45,93.0,78.0,2.08,CG,1627842431.0
558,Hervey Bay,-25.2986,152.8535,65.01,93.0,1.0,4.0,AU,1627842436.0
457,Batemans Bay,-35.7167,150.1833,40.98,93.0,13.0,3.6,AU,1627842422.0
466,Mount Gambier,-37.8333,140.7667,42.71,93.0,17.0,9.22,AU,1627842424.0
79,Lagoa,39.05,-27.9833,72.14,93.0,21.0,17.29,PT,1627842373.0
59,Palana,59.1167,159.9667,44.2,93.0,100.0,2.86,RU,1627842370.0
473,Mapiri,-15.25,-68.1667,62.31,93.0,100.0,0.25,BO,1627842425.0
33,Marawi,7.9986,124.2928,72.64,93.0,100.0,3.49,PH,1627842367.0
163,Leningradskiy,69.3833,178.4167,36.03,94.0,100.0,16.11,RU,1627842385.0
200,Tuatapere,-46.1333,167.6833,39.81,94.0,36.0,5.82,NZ,1627842389.0
73,Saint Paul Harbor,57.79,-152.4072,54.91,94.0,75.0,0.0,US,1627842372.0
36,Jamestown,42.097,-79.2353,69.51,94.0,90.0,10.42,US,1627842367.0
179,Salalah,17.0151,54.0924,77.09,94.0,90.0,5.75,OM,1627842094.0
173,Ribeira Grande,38.5167,-28.7,73.8,94.0,75.0,13.8,PT,1627842386.0
299,Baker City,44.7749,-117.8344,65.91,94.0,90.0,0.0,US,1627842254.0
327,Mnogovershinnyy,53.9353,139.9242,45.99,94.0,100.0,2.26,RU,1627842406.0
505,Yeniseysk,58.4497,92.1703,57.38,94.0,100.0,0.98,RU,1627842428.0
343,Hambantota,6.1241,81.1185,79.14,94.0,20.0,6.91,LK,1627842408.0
433,Hofn,64.2539,-15.2082,53.91,94.0,98.0,3.11,IS,1627842419.0
376,Deqing,30.5448,119.9599,82.36,94.0,18.0,0.85,CN,1627842413.0
386,Pechora,65.1472,57.2244,56.26,94.0,84.0,3.85,RU,1627842414.0
132,Katobu,-4.9408,122.5276,73.22,95.0,59.0,4.03,ID,1627842380.0
539,Āsosa,10.0667,34.5333,59.58,95.0,100.0,1.54,ET,1627842433.0
269,Muzhi,65.3667,64.6667,52.83,95.0,97.0,3.58,RU,1627842399.0
364,Berlevåg,70.8578,29.0864,50.31,95.0,100.0,4.45,NO,1627842411.0
129,Pevek,69.7008,170.3133,33.08,96.0,100.0,11.92,RU,1627842380.0
148,Ruteng,-8.6136,120.4721,61.57,96.0,87.0,4.59,ID,1627842383.0
383,Tyret’ Pervaya,53.6703,102.3106,56.32,96.0,100.0,10.47,RU,1627842413.0
212,Vostok,46.4856,135.8833,61.12,96.0,3.0,3.69,RU,1627842391.0
410,Misawa,40.6836,141.3597,73.6,96.0,58.0,3.96,JP,1627842417.0
421,Igrim,63.1906,64.4162,58.98,96.0,87.0,4.36,RU,1627842418.0
