index,city,Lat,Lon,max_temp,Humidity,Cloudiness,Wind Speed,Country,Date
439,Severobaykal'sk,55.65,109.3167,13.81,76.0,62.0,1.26,RU,1627492622.0
52,George Town,5.4112,100.3354,28.96,77.0,20.0,0.45,MY,1627492448.0
84,Tuktoyaktuk,69.4541,-133.0374,8.76,77.0,99.0,3.11,CA,1627492352.0
472,Jālna,19.8333,75.8833,24.4,77.0,100.0,6.85,IN,1627492626.0
463,Stokmarknes,68.5646,14.9108,18.98,77.0,20.0,5.14,NO,1627492625.0
74,Aklavik,68.2191,-135.0107,16.46,77.0,75.0,1.54,CA,1627492575.0
540,Ketchikan,55.3422,-131.6461,16.26,77.0,40.0,3.6,US,1627492637.0
246,Pisco,-13.7,-76.2167,18.9,77.0,0.0,4.12,PE,1627492597.0
5,Norman Wells,65.282,-126.8329,17.02,77.0,75.0,2.57,CA,1627492565.0
280,Sitka,57.0531,-135.33,14.94,77.0,20.0,0.0,US,1627492601.0
145,Goderich,43.7501,-81.7165,24.56,78.0,0.0,4.12,CA,1627492585.0
566,Gizo Government Station,-8.103,156.8419,27.01,78.0,33.0,2.58,SB,1627492641.0
317,Nador,35.174,-2.9287,29.04,78.0,40.0,3.6,MA,1627492606.0
128,Vila Franca do Campo,37.7167,-25.4333,23.23,78.0,61.0,3.17,PT,1627492583.0
564,Shagonar,51.5333,92.8,14.23,78.0,96.0,0.42,RU,1627492641.0
131,Hambantota,6.1241,81.1185,27.01,78.0,56.0,7.85,LK,1627492571.0
11,Puerto Ayora,-0.7393,-90.3518,23.98,78.0,85.0,4.85,EC,1627492566.0
402,Hengyang,26.8881,112.615,26.8,78.0,0.0,1.2,CN,1627492617.0
87,Kapaa,22.0752,-159.319,26.18,78.0,90.0,0.45,US,1627492577.0
38,Severo-Yeniseyskiy,60.3725,93.0408,11.65,78.0,100.0,1.1,RU,1627492570.0
533,Batagay-Alyta,67.8006,130.4114,5.08,78.0,21.0,2.48,RU,1627492636.0
507,Sabang,5.8933,95.3214,28.59,78.0,89.0,10.07,ID,1627492631.0
231,Warwick,41.7001,-71.4162,23.85,78.0,75.0,4.63,US,1627492596.0
449,Beringovskiy,63.05,179.3167,8.29,78.0,100.0,5.5,RU,1627492623.0
28,Rikitea,-23.1203,-134.9692,23.55,78.0,100.0,6.31,PF,1627492569.0
529,Bambanglipuro,-7.95,110.2833,23.77,78.0,47.0,1.64,ID,1627492636.0
202,Sioux Lookout,50.1001,-91.917,25.21,78.0,75.0,2.57,CA,1627492592.0
